,Product Name,Prices
171,"vivo Y1S (Aurora Blue, 32 GB)","₹7,990"
172,"vivo V20 (Midnight Jazz, 128 GB)","₹27,990"
173,"vivo Y31 (Racing Black, 128 GB)","₹20,490"
174,"vivo Y20A (Dawn White, 64 GB)","₹15,490"
175,"vivo Y100 A 5G (Metal Black, 256 GB)","₹26,999"
176,"vivo Y20i (Nebula Blue, 64 GB)","₹15,490"
177,"vivo Y33T (Mid day dream, 128 GB)","₹17,999"
178,"vivo V20 2021 (Sunset Melody, 128 GB)","₹27,990"
179,"vivo Y20i (Dawn White, 64 GB)","₹15,490"
180,"vivo Y20G (Purist Blue, 64 GB)","₹16,990"
181,"vivo V20 2021 (Midnight Jazz, 256 GB)","₹30,990"
182,"vivo V20 2021 (Midnight Jazz, 128 GB)","₹27,990"
183,"vivo Y20G (Obsidian Black, 64 GB)","₹16,990"
184,"vivo X50 Pro (Alpha Grey, 256 GB)","₹54,990"
185,"vivo Y1S (Olive Black, 32 GB)","₹8,590"
186,"vivo Y20G (Purist Blue, 128 GB)","₹18,990"
187,"vivo V20 2021 (Sunset Melody, 256 GB)","₹30,990"
188,"vivo Y20G (Obsidian Black, 128 GB)","₹18,990"
189,"vivo Y20G 2021 (Purist Blue, 64 GB)","₹13,990"
190,"vivo Y20G 2021 (Obsidian Black, 64 GB)","₹13,990"
191,"vivo Y30 (Emerald Black, 128 GB)","₹18,990"
192,"vivo Y30 (Dazzle Blue, 128 GB)","₹18,990"
193,"vivo Y31 (Ocean Blue, 128 GB)","₹20,490"
194,"vivo V17 (Midnight Ocean Black, 128 GB)","₹27,990"
195,"vivo V19 (Mystic Silver, 256 GB)","₹34,990"
196,"vivo V19 (Piano Black, 128 GB)","₹30,990"
197,"vivo V20 SE (Gravity Black, 128 GB)","₹24,990"
198,"vivo V19 (Piano Black, 256 GB)","₹34,990"
199,"vivo V9 (Sapphire Blue, 64 GB)","₹23,990"
200,"vivo X50 (Frost Blue, 128 GB)","₹39,990"
201,"vivo X80 (Urban Blue, 256 GB)","₹59,999"
202,"vivo X60 (Midnight Black, 128 GB)","₹34,990"
203,"vivo V15 Pro (Ruby Red, 128 GB)","₹32,990"
204,"vivo X50 (Frost Blue, 256 GB)","₹44,990"
